仓库地区,产品ID,产品名称,当前库存量,入库日期,最低库存警戒线,最高库存量,供应商,单位成本,库存价值
华北仓,P001,笔记本电脑(14寸),120,2023-01-05,50,200,科技电子有限公司,5800,696000
华北仓,P002,智能手机(旗舰版),350,2023-01-08,100,500,移动通讯科技,3200,1120000
华北仓,P003,平板电脑(10.5寸),180,2023-01-15,60,250,云端科技集团,3900,702000
华北仓,P004,台式电脑(商务版),80,2023-01-20,30,150,商用电子设备,4500,360000
华北仓,P005,智能手表(运动版),220,2023-01-25,70,300,运动电子科技,950,209000
华东仓,P001,笔记本电脑(14寸),150,2023-01-10,50,250,科技电子有限公司,5800,870000
华东仓,P002,智能手机(旗舰版),420,2023-01-12,120,600,移动通讯科技,3200,1344000
华东仓,P003,平板电脑(10.5寸),200,2023-01-18,70,300,云端科技集团,3900,780000
华东仓,P004,台式电脑(商务版),90,2023-01-22,40,180,商用电子设备,4500,405000
华东仓,P005,智能手表(运动版),280,2023-01-28,80,400,运动电子科技,950,266000
华南仓,P001,笔记本电脑(14寸),140,2023-01-08,45,220,科技电子有限公司,5800,812000
华南仓,P002,智能手机(旗舰版),380,2023-01-15,110,550,移动通讯科技,3200,1216000
华南仓,P003,平板电脑(10.5寸),190,2023-01-20,65,270,云端科技集团,3900,741000
华南仓,P004,台式电脑(商务版),70,2023-01-25,35,160,商用电子设备,4500,315000
华南仓,P005,智能手表(运动版),250,2023-01-30,75,350,运动电子科技,950,237500
西北仓,P001,笔记本电脑(14寸),90,2023-01-12,40,180,科技电子有限公司,5800,522000
西北仓,P002,智能手机(旗舰版),280,2023-01-18,90,450,移动通讯科技,3200,896000
西北仓,P003,平板电脑(10.5寸),130,2023-01-23,50,220,云端科技集团,3900,507000
西北仓,P004,台式电脑(商务版),60,2023-01-28,25,130,商用电子设备,4500,270000
西北仓,P005,智能手表(运动版),180,2023-02-02,60,280,运动电子科技,950,171000
西南仓,P001,笔记本电脑(14寸),100,2023-01-15,35,190,科技电子有限公司,5800,580000
西南仓,P002,智能手机(旗舰版),300,2023-01-20,85,480,移动通讯科技,3200,960000
西南仓,P003,平板电脑(10.5寸),150,2023-01-25,55,240,云端科技集团,3900,585000
西南仓,P004,台式电脑(商务版),65,2023-01-30,30,140,商用电子设备,4500,292500
西南仓,P005,智能手表(运动版),200,2023-02-05,65,300,运动电子科技,950,190000
东北仓,P001,笔记本电脑(14寸),85,2023-01-18,30,170,科技电子有限公司,5800,493000
东北仓,P002,智能手机(旗舰版),260,2023-01-23,80,420,移动通讯科技,3200,832000
东北仓,P003,平板电脑(10.5寸),120,2023-01-28,45,200,云端科技集团,3900,468000
东北仓,P004,台式电脑(商务版),50,2023-02-02,20,120,商用电子设备,4500,225000
东北仓,P005,智能手表(运动版),160,2023-02-07,55,260,运动电子科技,950,152000
中部仓,P001,笔记本电脑(14寸),110,2023-01-20,40,200,科技电子有限公司,5800,638000
中部仓,P002,智能手机(旗舰版),320,2023-01-25,95,500,移动通讯科技,3200,1024000
中部仓,P003,平板电脑(10.5寸),160,2023-01-30,60,250,云端科技集团,3900,624000
中部仓,P004,台式电脑(商务版),75,2023-02-04,35,150,商用电子设备,4500,337500
中部仓,P005,智能手表(运动版),230,2023-02-09,70,320,运动电子科技,950,218500 