客户ID,年龄,性别,收入,学历,婚姻状况,城市等级,消费频率,平均订单金额,总消费金额,会员等级,客户忠诚度,产品喜好类型,促销敏感度,支付方式偏好,访问渠道,购买转化率,退货率,投诉次数,客户价值
C001,35,男,12000,本科,已婚,一线,15,650,9750,金牌,0.85,电子产品,0.7,信用卡,移动端,0.22,0.05,1,高
C002,28,女,8500,硕士,未婚,一线,12,580,6960,银牌,0.75,服装,0.8,微信支付,移动端,0.18,0.12,2,中
C003,42,男,15000,博士,已婚,一线,18,720,12960,钻石,0.92,奢侈品,0.5,信用卡,电脑端,0.25,0.03,0,高
C004,31,女,9500,本科,已婚,二线,10,490,4900,银牌,0.7,美妆,0.75,支付宝,移动端,0.15,0.08,1,中
C005,25,男,6500,大专,未婚,三线,8,320,2560,普通,0.62,数码,0.65,微信支付,移动端,0.12,0.15,3,低
C006,39,男,13500,硕士,已婚,一线,16,680,10880,金牌,0.88,家电,0.55,信用卡,电脑端,0.23,0.04,1,高
C007,33,女,10200,本科,已婚,二线,14,520,7280,银牌,0.79,家居,0.6,支付宝,移动端,0.17,0.07,0,中
C008,45,男,18000,博士,已婚,一线,20,850,17000,钻石,0.95,奢侈品,0.4,信用卡,电脑端,0.28,0.02,0,高
C009,29,女,8800,本科,未婚,二线,11,450,4950,普通,0.73,服装,0.85,微信支付,移动端,0.16,0.09,1,中
C010,52,男,22000,硕士,已婚,一线,17,920,15640,钻石,0.9,奢侈品,0.35,信用卡,电脑端,0.27,0.01,0,高
C011,27,女,7500,大专,未婚,三线,9,380,3420,普通,0.65,美妆,0.8,支付宝,移动端,0.13,0.14,2,低
C012,38,男,12800,本科,已婚,二线,15,620,9300,金牌,0.82,数码,0.6,微信支付,电脑端,0.21,0.06,1,中
C013,41,女,14500,硕士,离异,一线,19,750,14250,金牌,0.87,奢侈品,0.55,信用卡,电脑端,0.24,0.04,1,高
C014,32,男,9800,本科,已婚,二线,13,510,6630,银牌,0.77,电子产品,0.65,微信支付,移动端,0.19,0.08,0,中
C015,24,女,5800,大专,未婚,三线,7,290,2030,普通,0.59,服装,0.9,支付宝,移动端,0.11,0.18,2,低
C016,49,男,19500,博士,已婚,一线,18,880,15840,钻石,0.93,奢侈品,0.3,信用卡,电脑端,0.26,0.02,0,高
C017,36,女,11200,本科,已婚,二线,14,580,8120,银牌,0.81,家居,0.7,支付宝,移动端,0.2,0.07,1,中
C018,43,男,16500,硕士,离异,一线,17,790,13430,金牌,0.89,电子产品,0.5,信用卡,电脑端,0.25,0.03,0,高
C019,30,女,9000,本科,未婚,二线,12,470,5640,银牌,0.76,美妆,0.75,微信支付,移动端,0.18,0.1,1,中
C020,55,男,25000,博士,已婚,一线,19,980,18620,钻石,0.94,奢侈品,0.25,信用卡,电脑端,0.29,0.01,0,高
C021,26,女,7200,大专,未婚,三线,8,350,2800,普通,0.63,服装,0.85,支付宝,移动端,0.12,0.16,3,低
C022,37,男,12500,本科,已婚,二线,15,610,9150,金牌,0.83,数码,0.6,微信支付,电脑端,0.22,0.05,1,中
C023,44,女,17000,硕士,已婚,一线,18,820,14760,金牌,0.9,奢侈品,0.45,信用卡,电脑端,0.26,0.03,0,高
C024,34,男,10500,本科,已婚,二线,13,530,6890,银牌,0.78,电子产品,0.65,微信支付,移动端,0.2,0.08,1,中
C025,23,女,5500,大专,未婚,三线,6,270,1620,普通,0.56,服装,0.95,支付宝,移动端,0.1,0.2,4,低
C026,48,男,18500,硕士,已婚,一线,17,860,14620,钻石,0.92,奢侈品,0.35,信用卡,电脑端,0.27,0.02,0,高
C027,29,女,8900,本科,未婚,二线,11,460,5060,银牌,0.74,美妆,0.8,微信支付,移动端,0.17,0.11,1,中
C028,40,男,13800,硕士,已婚,一线,16,700,11200,金牌,0.86,家电,0.55,信用卡,电脑端,0.24,0.04,0,高
C029,33,女,10000,本科,已婚,二线,14,500,7000,银牌,0.79,家居,0.65,支付宝,移动端,0.19,0.09,1,中
C030,22,男,5000,大专,未婚,三线,5,250,1250,普通,0.53,数码,0.85,微信支付,移动端,0.09,0.22,3,低
C031,46,男,17800,硕士,离异,一线,16,830,13280,金牌,0.91,电子产品,0.4,信用卡,电脑端,0.25,0.03,0,高
C032,31,女,9300,本科,未婚,二线,12,480,5760,银牌,0.75,美妆,0.75,支付宝,移动端,0.18,0.1,1,中
C033,53,男,23000,博士,已婚,一线,18,950,17100,钻石,0.94,奢侈品,0.3,信用卡,电脑端,0.28,0.01,0,高
C034,27,女,7800,本科,未婚,三线,9,370,3330,普通,0.67,服装,0.8,微信支付,移动端,0.14,0.13,2,低
C035,39,男,13200,硕士,已婚,二线,15,640,9600,金牌,0.84,数码,0.55,信用卡,电脑端,0.23,0.05,1,中
C036,25,女,6800,大专,未婚,三线,8,310,2480,普通,0.61,美妆,0.9,支付宝,移动端,0.12,0.17,2,低
C037,50,男,20500,博士,已婚,一线,18,900,16200,钻石,0.93,奢侈品,0.25,信用卡,电脑端,0.27,0.01,0,高
C038,35,女,11000,本科,离异,二线,14,550,7700,银牌,0.8,家居,0.7,支付宝,移动端,0.2,0.08,1,中
C039,45,男,17500,硕士,已婚,一线,17,810,13770,金牌,0.88,电子产品,0.45,信用卡,电脑端,0.24,0.03,0,高
C040,30,女,9200,本科,未婚,二线,12,460,5520,银牌,0.74,服装,0.75,微信支付,移动端,0.18,0.11,1,中
C041,24,男,6200,大专,未婚,三线,7,300,2100,普通,0.6,数码,0.8,微信支付,移动端,0.11,0.16,3,低
C042,47,男,18200,硕士,已婚,一线,17,850,14450,钻石,0.9,奢侈品,0.35,信用卡,电脑端,0.26,0.02,0,高
C043,32,女,10300,本科,已婚,二线,13,520,6760,银牌,0.77,美妆,0.7,支付宝,移动端,0.19,0.09,1,中
C044,54,男,24000,博士,已婚,一线,19,970,18430,钻石,0.95,奢侈品,0.25,信用卡,电脑端,0.29,0.01,0,高
C045,28,女,8200,本科,未婚,二线,10,430,4300,普通,0.72,服装,0.85,微信支付,移动端,0.15,0.12,2,中
C046,38,男,12900,硕士,已婚,二线,15,630,9450,金牌,0.83,数码,0.6,信用卡,电脑端,0.22,0.05,1,中
C047,26,女,7300,大专,未婚,三线,8,340,2720,普通,0.64,美妆,0.85,支付宝,移动端,0.13,0.15,2,低
C048,51,男,21000,博士,已婚,一线,19,910,17290,钻石,0.92,奢侈品,0.3,信用卡,电脑端,0.28,0.01,0,高
C049,36,女,11500,本科,已婚,二线,14,590,8260,银牌,0.81,家居,0.65,支付宝,移动端,0.21,0.07,1,中
C050,42,男,15500,硕士,离异,一线,16,760,12160,金牌,0.87,电子产品,0.5,信用卡,电脑端,0.24,0.04,0,高
C051,33,女,10100,本科,已婚,二线,13,510,6630,银牌,0.76,美妆,0.7,微信支付,移动端,0.19,0.09,1,中
C052,23,男,5600,大专,未婚,三线,6,280,1680,普通,0.57,数码,0.9,支付宝,移动端,0.1,0.19,3,低
C053,49,男,19800,博士,已婚,一线,18,890,16020,钻石,0.91,奢侈品,0.3,信用卡,电脑端,0.27,0.02,0,高
C054,34,女,10800,本科,离异,二线,14,540,7560,银牌,0.78,家居,0.65,支付宝,移动端,0.2,0.08,1,中
C055,44,男,16800,硕士,已婚,一线,17,800,13600,金牌,0.89,电子产品,0.45,信用卡,电脑端,0.25,0.03,0,高
C056,29,女,8700,本科,未婚,二线,11,440,4840,普通,0.73,服装,0.8,微信支付,移动端,0.17,0.11,1,中
C057,25,男,6700,大专,未婚,三线,8,320,2560,普通,0.62,数码,0.85,微信支付,移动端,0.12,0.16,3,低
C058,48,男,18800,硕士,已婚,一线,17,870,14790,钻石,0.93,奢侈品,0.35,信用卡,电脑端,0.26,0.02,0,高
C059,37,女,12300,本科,已婚,二线,15,600,9000,金牌,0.82,家居,0.6,支付宝,移动端,0.21,0.06,1,中
C060,55,男,25500,博士,已婚,一线,19,990,18810,钻石,0.96,奢侈品,0.2,信用卡,电脑端,0.3,0.01,0,高
C061,27,女,7700,本科,未婚,三线,9,360,3240,普通,0.66,美妆,0.8,支付宝,移动端,0.14,0.13,2,低
C062,39,男,13300,硕士,已婚,二线,15,650,9750,金牌,0.85,数码,0.55,信用卡,电脑端,0.23,0.05,1,中
C063,31,女,9600,本科,已婚,二线,12,490,5880,银牌,0.76,服装,0.7,微信支付,移动端,0.18,0.1,1,中
C064,52,男,22500,博士,已婚,一线,18,930,16740,钻石,0.94,奢侈品,0.25,信用卡,电脑端,0.28,0.01,0,高
C065,35,女,11100,本科,离异,二线,14,560,7840,银牌,0.8,家居,0.65,支付宝,移动端,0.2,0.08,1,中
C066,43,男,16200,硕士,已婚,一线,16,780,12480,金牌,0.88,电子产品,0.5,信用卡,电脑端,0.24,0.04,0,高
C067,28,女,8300,本科,未婚,二线,10,420,4200,普通,0.71,美妆,0.8,微信支付,移动端,0.16,0.12,2,中
C068,24,男,6100,大专,未婚,三线,7,290,2030,普通,0.59,数码,0.9,支付宝,移动端,0.11,0.18,3,低
C069,50,男,20800,硕士,已婚,一线,18,900,16200,钻石,0.92,奢侈品,0.3,信用卡,电脑端,0.27,0.02,0,高
C070,35,女,10900,本科,已婚,二线,13,540,7020,银牌,0.79,家居,0.65,支付宝,移动端,0.19,0.09,1,中
C071,45,男,17200,硕士,离异,一线,17,820,13940,金牌,0.87,电子产品,0.45,信用卡,电脑端,0.25,0.03,0,高
C072,30,女,9100,本科,未婚,二线,11,450,4950,银牌,0.74,服装,0.75,微信支付,移动端,0.17,0.11,1,中
C073,22,男,5200,大专,未婚,三线,5,260,1300,普通,0.54,数码,0.85,微信支付,移动端,0.09,0.21,4,低
C074,47,男,18000,硕士,已婚,一线,17,840,14280,金牌,0.9,奢侈品,0.35,信用卡,电脑端,0.26,0.02,0,高
C075,33,女,10400,本科,已婚,二线,13,530,6890,银牌,0.78,美妆,0.7,支付宝,移动端,0.19,0.09,1,中
C076,53,男,23500,博士,已婚,一线,19,960,18240,钻石,0.95,奢侈品,0.25,信用卡,电脑端,0.29,0.01,0,高
C077,26,女,7100,大专,未婚,三线,8,330,2640,普通,0.63,服装,0.85,支付宝,移动端,0.13,0.16,2,低
C078,38,男,12700,硕士,已婚,二线,15,620,9300,金牌,0.83,数码,0.6,信用卡,电脑端,0.22,0.05,1,中
C079,32,女,9900,本科,已婚,二线,12,500,6000,银牌,0.77,家居,0.7,微信支付,移动端,0.18,0.1,1,中
C080,51,男,21500,博士,已婚,一线,18,920,16560,钻石,0.93,奢侈品,0.3,信用卡,电脑端,0.28,0.01,0,高
C081,29,女,8600,本科,未婚,二线,11,440,4840,普通,0.72,美妆,0.8,支付宝,移动端,0.16,0.11,1,中
C082,41,男,14800,硕士,已婚,一线,16,720,11520,金牌,0.86,电子产品,0.5,信用卡,电脑端,0.23,0.04,0,高
C083,34,女,10700,本科,离异,二线,14,530,7420,银牌,0.79,家居,0.65,支付宝,移动端,0.2,0.08,1,中
C084,25,男,6600,大专,未婚,三线,7,310,2170,普通,0.61,数码,0.85,微信支付,移动端,0.12,0.17,3,低
C085,49,男,19200,硕士,已婚,一线,17,880,14960,钻石,0.91,奢侈品,0.35,信用卡,电脑端,0.27,0.02,0,高
C086,36,女,11600,本科,已婚,二线,14,580,8120,银牌,0.81,家居,0.65,支付宝,移动端,0.21,0.07,1,中
C087,44,男,16500,硕士,已婚,一线,16,790,12640,金牌,0.88,电子产品,0.45,信用卡,电脑端,0.25,0.03,0,高
C088,31,女,9400,本科,未婚,二线,12,480,5760,银牌,0.75,服装,0.75,微信支付,移动端,0.18,0.1,1,中
C089,23,男,5700,大专,未婚,三线,6,270,1620,普通,0.58,数码,0.9,支付宝,移动端,0.1,0.19,3,低
C090,48,男,18600,硕士,已婚,一线,17,860,14620,钻石,0.92,奢侈品,0.3,信用卡,电脑端,0.26,0.02,0,高
C091,27,女,7900,本科,未婚,三线,9,380,3420,普通,0.68,美妆,0.8,支付宝,移动端,0.15,0.13,2,低
C092,40,男,14000,硕士,已婚,一线,16,710,11360,金牌,0.86,家电,0.55,信用卡,电脑端,0.24,0.04,0,高
C093,33,女,10200,本科,已婚,二线,13,520,6760,银牌,0.77,家居,0.7,微信支付,移动端,0.19,0.09,1,中
C094,54,男,24500,博士,已婚,一线,19,980,18620,钻石,0.96,奢侈品,0.2,信用卡,电脑端,0.3,0.01,0,高
C095,35,女,11300,本科,离异,二线,14,570,7980,银牌,0.8,服装,0.65,支付宝,移动端,0.2,0.08,1,中
C096,42,男,15800,硕士,已婚,一线,16,770,12320,金牌,0.87,电子产品,0.5,信用卡,电脑端,0.24,0.04,0,高
C097,29,女,8800,本科,未婚,二线,11,450,4950,普通,0.73,美妆,0.8,微信支付,移动端,0.17,0.11,1,中
C098,24,男,6300,大专,未婚,三线,7,300,2100,普通,0.6,数码,0.85,微信支付,移动端,0.11,0.17,3,低
C099,50,男,20200,硕士,已婚,一线,18,890,16020,钻石,0.92,奢侈品,0.3,信用卡,电脑端,0.27,0.02,0,高
C100,37,女,12100,本科,已婚,二线,15,610,9150,金牌,0.82,家居,0.6,支付宝,移动端,0.21,0.06,1,中 