产品ID,产品名称,类别,品牌,零售价,成本价,毛利率,库存量,销量,平均评分,评论数量,促销频率,退货率,上架时间,季节性指数,新品标志,包装类型,重量,尺寸,颜色,材质,产地,保修期,在线可见度,门店可见度,受众群体,热销指数
P001,超薄笔记本电脑,电子产品,联想,5999,4200,0.30,120,85,4.6,320,0.25,0.03,2022-01-15,0.8,1,盒装,1.8,13.5寸,银色,金属,中国,24个月,0.85,0.75,商务人士,0.78
P002,高清智能电视,家电,三星,3999,2800,0.30,80,65,4.5,280,0.30,0.02,2021-11-20,0.7,0,盒装,15.5,55寸,黑色,塑料,韩国,36个月,0.80,0.85,家庭,0.81
P003,专业单反相机,数码,尼康,6500,4550,0.30,60,40,4.8,180,0.15,0.01,2022-02-10,0.6,1,盒装,0.8,中型,黑色,复合材料,日本,12个月,0.75,0.70,摄影爱好者,0.72
P004,智能手表,电子产品,苹果,2999,2100,0.30,150,130,4.7,450,0.20,0.04,2021-09-15,0.9,0,盒装,0.05,44mm,白色,金属,中国,12个月,0.90,0.80,年轻人,0.86
P005,无线蓝牙耳机,电子产品,索尼,1299,910,0.30,200,180,4.6,520,0.35,0.05,2022-03-01,0.8,1,盒装,0.02,小型,黑色,塑料,越南,12个月,0.85,0.70,音乐爱好者,0.84
P006,智能音箱,电子产品,亚马逊,899,630,0.30,120,95,4.3,280,0.25,0.03,2021-10-10,0.7,0,盒装,1.2,中型,黑色,塑料,美国,12个月,0.80,0.65,科技爱好者,0.76
P007,高端咖啡机,家电,德龙,3599,2520,0.30,50,35,4.7,150,0.15,0.02,2021-12-05,0.6,0,盒装,8.5,中型,银色,金属,意大利,24个月,0.70,0.80,咖啡爱好者,0.69
P008,游戏主机,电子产品,索尼,3799,2660,0.30,100,85,4.8,380,0.20,0.01,2021-11-15,0.9,0,盒装,3.9,中型,黑色,塑料,日本,12个月,0.90,0.85,游戏玩家,0.88
P009,智能手机,电子产品,华为,4999,3500,0.30,180,160,4.5,580,0.30,0.04,2022-01-20,0.9,1,盒装,0.2,6.7寸,蓝色,玻璃金属,中国,24个月,0.95,0.90,大众,0.92
P010,平板电脑,电子产品,苹果,3799,2660,0.30,130,110,4.7,420,0.25,0.03,2021-10-25,0.8,0,盒装,0.5,10.9寸,银色,金属,中国,12个月,0.85,0.80,学生/专业人士,0.83
P011,吸尘器,家电,戴森,3999,2800,0.30,70,55,4.6,230,0.15,0.02,2022-02-15,0.7,1,盒装,2.8,中型,紫色,塑料,马来西亚,24个月,0.75,0.85,家庭,0.79
P012,智能冰箱,家电,海尔,5999,4200,0.30,40,25,4.4,120,0.10,0.01,2021-09-01,0.6,0,盒装,80.0,大型,银色,金属,中国,60个月,0.70,0.90,家庭,0.75
P013,无线路由器,电子产品,华硕,899,630,0.30,150,130,4.5,350,0.20,0.03,2022-03-10,0.7,1,盒装,0.4,小型,黑色,塑料,中国,36个月,0.80,0.65,网络爱好者,0.77
P014,电动剃须刀,家电,飞利浦,1299,910,0.30,100,85,4.6,280,0.25,0.04,2021-11-10,0.8,0,盒装,0.3,小型,蓝色,塑料,荷兰,24个月,0.75,0.80,男性,0.78
P015,空气净化器,家电,小米,1599,1120,0.30,90,75,4.4,260,0.20,0.03,2022-01-05,0.9,1,盒装,5.2,中型,白色,塑料,中国,12个月,0.85,0.80,家庭,0.82
P016,电子书阅读器,电子产品,亚马逊,999,700,0.30,120,100,4.7,320,0.15,0.02,2021-10-20,0.7,0,盒装,0.2,6寸,黑色,塑料,中国,12个月,0.80,0.60,阅读爱好者,0.75
P017,智能门锁,家居,小米,1799,1260,0.30,80,60,4.5,180,0.15,0.03,2022-02-01,0.6,1,盒装,1.5,中型,银色,金属,中国,24个月,0.75,0.70,家庭,0.73
P018,电动牙刷,家电,欧乐B,599,420,0.30,180,160,4.6,450,0.30,0.05,2021-12-15,0.8,0,盒装,0.2,小型,白色,塑料,德国,12个月,0.80,0.85,大众,0.82
P019,无线充电器,电子产品,苹果,399,280,0.30,200,180,4.4,380,0.25,0.03,2022-01-10,0.7,1,盒装,0.1,小型,白色,塑料,中国,12个月,0.85,0.75,智能手机用户,0.80
P020,智能体重秤,家电,小米,199,140,0.30,150,130,4.5,280,0.20,0.02,2021-11-05,0.6,0,盒装,1.2,中型,白色,玻璃,中国,12个月,0.80,0.75,健康人群,0.77
P021,便携蓝牙音箱,电子产品,JBL,799,560,0.30,130,115,4.7,350,0.30,0.04,2022-03-05,0.8,1,盒装,0.5,小型,黑色,塑料,中国,12个月,0.85,0.80,音乐爱好者,0.83
P022,智能灯泡,家居,飞利浦,299,210,0.30,200,180,4.4,320,0.25,0.03,2021-10-15,0.7,0,盒装,0.1,小型,白色,玻璃,中国,24个月,0.75,0.70,家庭,0.76
P023,蒸汽烤箱,家电,美的,2999,2100,0.30,60,45,4.6,180,0.15,0.02,2021-12-10,0.8,0,盒装,15.0,中型,银色,金属,中国,24个月,0.80,0.85,家庭,0.79
P024,运动相机,数码,GoPro,2499,1750,0.30,80,65,4.8,250,0.20,0.01,2022-02-05,0.9,1,盒装,0.1,小型,黑色,塑料,美国,12个月,0.85,0.75,运动爱好者,0.82
P025,智能电饭煲,家电,苏泊尔,899,630,0.30,100,90,4.5,280,0.25,0.03,2021-11-25,0.7,0,盒装,4.5,中型,白色,金属,中国,24个月,0.75,0.85,家庭,0.80
P026,无线鼠标,电子产品,罗技,299,210,0.30,180,165,4.6,380,0.30,0.04,2022-01-15,0.6,1,盒装,0.1,小型,黑色,塑料,中国,12个月,0.80,0.75,办公族,0.78
P027,游戏键盘,电子产品,雷蛇,899,630,0.30,120,100,4.7,320,0.20,0.02,2021-10-10,0.8,0,盒装,1.0,中型,黑色,塑料,中国,24个月,0.85,0.80,游戏玩家,0.83
P028,智能手环,电子产品,小米,299,210,0.30,200,185,4.5,450,0.35,0.05,2022-03-01,0.9,1,盒装,0.02,小型,黑色,塑料,中国,12个月,0.90,0.85,运动人群,0.87
P029,电动滑板车,交通,小米,1999,1400,0.30,50,35,4.6,150,0.15,0.01,2021-09-20,0.8,0,盒装,12.5,大型,黑色,金属,中国,12个月,0.75,0.70,都市通勤族,0.73
P030,智能马桶盖,家居,松下,2599,1820,0.30,60,45,4.7,180,0.10,0.02,2022-01-25,0.7,1,盒装,5.0,中型,白色,塑料,日本,24个月,0.70,0.75,家庭,0.72
P031,投影仪,电子产品,明基,3999,2800,0.30,70,55,4.8,220,0.20,0.01,2021-12-15,0.8,0,盒装,2.5,中型,白色,塑料,中国,24个月,0.85,0.80,家庭/办公,0.82
P032,电动牙刷头,家电,欧乐B,199,140,0.30,250,230,4.5,350,0.30,0.03,2022-02-10,0.6,1,盒装,0.02,小型,白色,塑料,德国,无,0.80,0.85,电动牙刷用户,0.83
P033,智能窗帘,家居,绿米,1599,1120,0.30,50,35,4.6,120,0.15,0.02,2021-11-10,0.7,0,盒装,2.0,中型,白色,布料,中国,24个月,0.70,0.65,智能家居爱好者,0.68
P034,电动剃须刀替换刀头,家电,飞利浦,299,210,0.30,150,135,4.4,280,0.25,0.03,2022-01-05,0.6,1,盒装,0.01,小型,黑色,金属,荷兰,无,0.75,0.80,男性,0.78
P035,智能体温计,健康,小米,149,105,0.30,200,180,4.7,320,0.20,0.04,2021-10-25,0.9,0,盒装,0.05,小型,白色,塑料,中国,12个月,0.85,0.80,家庭,0.82
P036,香薰机,家居,无印良品,499,350,0.30,100,80,4.6,250,0.25,0.03,2022-03-10,0.8,1,盒装,0.5,小型,白色,塑料,日本,12个月,0.80,0.85,女性/家庭,0.83
P037,电热水壶,家电,飞利浦,399,280,0.30,120,110,4.5,280,0.20,0.02,2021-09-15,0.7,0,盒装,1.0,中型,白色,金属,中国,24个月,0.75,0.85,家庭/办公,0.80
P038,智能插座,家居,小米,99,70,0.30,250,235,4.4,380,0.30,0.03,2022-01-20,0.6,1,盒装,0.1,小型,白色,塑料,中国,12个月,0.80,0.75,智能家居爱好者,0.77
P039,无线耳机充电盒,电子产品,苹果,499,350,0.30,150,130,4.6,280,0.15,0.04,2021-11-05,0.7,0,盒装,0.05,小型,白色,塑料,中国,12个月,0.85,0.80,无线耳机用户,0.83
P040,智能垃圾桶,家居,拓牛,799,560,0.30,80,60,4.5,180,0.20,0.02,2021-12-10,0.6,0,盒装,5.0,中型,银色,金属,中国,12个月,0.75,0.70,家庭,0.73
P041,运动耳机,电子产品,Bose,999,700,0.30,120,105,4.7,280,0.25,0.03,2022-02-15,0.8,1,盒装,0.03,小型,黑色,塑料,美国,12个月,0.85,0.80,运动爱好者,0.83
P042,儿童智能手表,电子产品,华为,899,630,0.30,100,85,4.6,220,0.20,0.05,2021-10-20,0.7,0,盒装,0.04,小型,蓝色,塑料,中国,12个月,0.80,0.85,儿童/家长,0.82
P043,保温杯,家居,膳魔师,299,210,0.30,180,165,4.8,350,0.15,0.01,2022-01-10,0.9,1,盒装,0.3,中型,银色,金属,日本,无,0.75,0.90,办公族/学生,0.83
P044,蓝牙耳机,电子产品,BOSE,1799,1260,0.30,120,100,4.7,280,0.20,0.02,2021-11-15,0.8,0,盒装,0.2,小型,黑色,塑料,美国,12个月,0.85,0.80,音乐爱好者,0.82
P045,游戏鼠标垫,电子产品,赛睿,199,140,0.30,200,185,4.5,320,0.30,0.03,2021-09-01,0.6,0,盒装,0.2,中型,黑色,布料,中国,无,0.80,0.75,游戏玩家,0.78
P046,电动按摩椅,家居,荣泰,8999,6300,0.30,30,15,4.8,90,0.10,0.01,2022-03-05,0.7,1,木架包装,80.0,大型,黑色,皮革,中国,36个月,0.70,0.85,中高收入家庭,0.77
P047,VR眼镜,电子产品,Meta,3499,2450,0.30,50,35,4.7,150,0.15,0.02,2021-10-15,0.8,0,盒装,0.5,中型,黑色,塑料,美国,12个月,0.80,0.70,科技爱好者,0.75
P048,智能台灯,家居,小米,499,350,0.30,150,135,4.6,280,0.25,0.03,2021-12-05,0.7,0,盒装,1.0,中型,白色,金属,中国,12个月,0.85,0.80,学生/办公族,0.82
P049,电动自行车,交通,雅迪,3999,2800,0.30,40,25,4.5,120,0.15,0.01,2022-02-01,0.6,1,木架包装,25.0,大型,白色,金属,中国,24个月,0.75,0.85,通勤族,0.80
P050,智能花盆,家居,小米,199,140,0.30,100,80,4.4,180,0.20,0.04,2021-11-20,0.7,0,盒装,0.8,中型,白色,陶瓷,中国,12个月,0.70,0.75,植物爱好者,0.73 