日期,销售额,访问量,广告支出,促销活动,季节因素,天气指数,竞争指数,市场份额,顾客满意度
2022-01-01,15200,3200,5000,1,0.8,0.6,0.5,32.5,4.2
2022-01-02,14800,3100,5000,1,0.8,0.5,0.5,32.4,4.2
2022-01-03,15100,3300,5000,1,0.8,0.7,0.5,32.6,4.3
2022-01-04,15500,3400,5000,1,0.8,0.8,0.5,32.7,4.3
2022-01-05,16000,3600,5000,1,0.8,0.9,0.5,32.9,4.4
2022-01-06,16500,3800,5000,1,0.8,0.7,0.5,33.1,4.4
2022-01-07,18000,4200,5000,1,0.8,0.8,0.5,33.5,4.5
2022-01-08,19500,4500,5000,0,0.8,0.9,0.5,33.9,4.5
2022-01-09,18200,4300,5000,0,0.8,0.8,0.5,33.7,4.4
2022-01-10,17800,4100,5000,0,0.8,0.7,0.5,33.5,4.4
2022-01-11,17500,4000,5000,0,0.8,0.6,0.5,33.4,4.3
2022-01-12,17200,3900,5000,0,0.8,0.5,0.5,33.2,4.3
2022-01-13,17000,3800,5000,0,0.8,0.4,0.5,33.0,4.2
2022-01-14,17800,4100,5000,0,0.8,0.6,0.5,33.1,4.3
2022-01-15,19200,4400,5000,1,0.8,0.7,0.5,33.5,4.4
2022-01-16,18500,4200,5000,1,0.8,0.8,0.5,33.4,4.4
2022-01-17,18100,4000,5000,1,0.8,0.7,0.5,33.3,4.3
2022-01-18,17900,3900,5000,1,0.8,0.6,0.5,33.2,4.3
2022-01-19,17600,3800,5000,1,0.8,0.5,0.5,33.0,4.2
2022-01-20,17400,3700,5000,1,0.8,0.4,0.5,32.9,4.2
2022-01-21,18200,4100,6000,1,0.8,0.6,0.5,33.1,4.3
2022-01-22,19800,4600,6000,1,0.8,0.8,0.5,33.8,4.5
2022-01-23,19200,4400,6000,1,0.8,0.7,0.5,33.7,4.4
2022-01-24,18500,4200,6000,1,0.8,0.6,0.5,33.5,4.4
2022-01-25,18200,4100,6000,1,0.8,0.5,0.5,33.3,4.3
2022-01-26,18000,4000,6000,1,0.8,0.4,0.5,33.2,4.3
2022-01-27,17800,3900,6000,1,0.8,0.3,0.5,33.0,4.2
2022-01-28,18600,4300,6000,1,0.8,0.5,0.5,33.2,4.3
2022-01-29,20200,4800,6000,1,0.8,0.7,0.5,33.9,4.5
2022-01-30,19500,4500,6000,1,0.8,0.6,0.5,33.8,4.4
2022-01-31,19000,4300,6000,1,0.8,0.5,0.5,33.7,4.4
2022-02-01,16200,3500,6000,0,0.9,0.4,0.6,33.5,4.3
2022-02-02,16000,3400,6000,0,0.9,0.3,0.6,33.3,4.3
2022-02-03,15800,3300,6000,0,0.9,0.2,0.6,33.1,4.2
2022-02-04,16500,3700,6000,0,0.9,0.4,0.6,33.0,4.2
2022-02-05,17800,4100,6000,0,0.9,0.6,0.6,33.2,4.3
2022-02-06,17200,3900,6000,0,0.9,0.5,0.6,33.1,4.3
2022-02-07,16800,3700,6000,0,0.9,0.4,0.6,33.0,4.2
2022-02-08,16500,3600,6000,0,0.9,0.3,0.6,32.8,4.2
2022-02-09,16200,3500,5500,0,0.9,0.2,0.6,32.7,4.1
2022-02-10,16000,3400,5500,0,0.9,0.1,0.6,32.5,4.1
2022-02-11,16800,3800,5500,0,0.9,0.3,0.6,32.6,4.2
2022-02-12,18200,4200,5500,0,0.9,0.5,0.6,32.9,4.3
2022-02-13,17500,4000,5500,0,0.9,0.4,0.6,32.8,4.3
2022-02-14,23500,5500,8000,2,0.9,0.6,0.6,33.5,4.7
2022-02-15,19800,4600,5500,1,0.9,0.5,0.6,33.0,4.4
2022-02-16,18500,4300,5500,1,0.9,0.4,0.6,32.8,4.3
2022-02-17,18000,4100,5500,1,0.9,0.3,0.6,32.7,4.3
2022-02-18,17600,3900,5500,1,0.9,0.2,0.6,32.5,4.2
2022-02-19,17200,3800,5500,1,0.9,0.1,0.6,32.4,4.2
2022-02-20,17000,3700,5500,1,0.9,0.2,0.6,32.3,4.1
2022-02-21,17800,4100,5500,1,0.9,0.3,0.6,32.5,4.2
2022-02-22,19200,4500,5500,1,0.9,0.5,0.6,32.8,4.3
2022-02-23,18500,4300,5500,1,0.9,0.4,0.6,32.7,4.3
2022-02-24,18000,4100,5500,1,0.9,0.3,0.6,32.6,4.2
2022-02-25,17600,3900,5500,1,0.9,0.2,0.6,32.4,4.2
2022-02-26,17200,3800,5500,1,0.9,0.1,0.6,32.3,4.1
2022-02-27,17000,3700,5500,1,0.9,0.2,0.6,32.2,4.1
2022-02-28,17800,4100,5500,1,0.9,0.3,0.6,32.4,4.2
2022-03-01,16500,3600,5000,0,1.0,0.4,0.7,32.3,4.2
2022-03-02,16200,3500,5000,0,1.0,0.3,0.7,32.2,4.1
2022-03-03,16000,3400,5000,0,1.0,0.2,0.7,32.0,4.1
2022-03-04,16800,3800,5000,0,1.0,0.4,0.7,32.1,4.2
2022-03-05,18200,4200,5000,0,1.0,0.6,0.7,32.4,4.3
2022-03-06,17500,4000,5000,0,1.0,0.5,0.7,32.3,4.3
2022-03-07,17000,3800,5000,0,1.0,0.4,0.7,32.2,4.2
2022-03-08,16500,3600,5000,0,1.0,0.3,0.7,32.0,4.2
2022-03-09,19800,4600,7000,2,1.0,0.5,0.7,32.6,4.5
2022-03-10,21500,5000,7000,2,1.0,0.7,0.7,33.0,4.6
2022-03-11,20500,4800,7000,2,1.0,0.6,0.7,32.9,4.5
2022-03-12,19500,4500,7000,2,1.0,0.5,0.7,32.8,4.5
2022-03-13,18800,4300,7000,2,1.0,0.4,0.7,32.6,4.4
2022-03-14,18200,4100,7000,2,1.0,0.3,0.7,32.5,4.3
2022-03-15,17800,3900,5000,1,1.0,0.2,0.7,32.3,4.3
2022-03-16,17500,3800,5000,1,1.0,0.1,0.7,32.2,4.2
2022-03-17,17200,3700,5000,1,1.0,0.2,0.7,32.1,4.2
2022-03-18,17800,4100,5000,1,1.0,0.3,0.7,32.3,4.3
2022-03-19,19200,4500,5000,1,1.0,0.5,0.7,32.6,4.4
2022-03-20,18500,4300,5000,1,1.0,0.4,0.7,32.5,4.3
2022-03-21,18000,4100,5000,1,1.0,0.3,0.7,32.4,4.3
2022-03-22,17600,3900,5000,1,1.0,0.2,0.7,32.2,4.2
2022-03-23,17200,3800,5000,1,1.0,0.1,0.7,32.1,4.2
2022-03-24,17000,3700,5000,1,1.0,0.2,0.7,32.0,4.1
2022-03-25,17800,4100,5000,1,1.0,0.3,0.7,32.2,4.2
2022-03-26,19200,4500,5000,1,1.0,0.5,0.7,32.5,4.3
2022-03-27,18500,4300,5000,1,1.0,0.4,0.7,32.4,4.3
2022-03-28,18000,4100,5000,1,1.0,0.3,0.7,32.3,4.2
2022-03-29,17600,3900,5000,1,1.0,0.2,0.7,32.1,4.2
2022-03-30,17200,3800,5000,1,1.0,0.1,0.7,32.0,4.1
2022-03-31,17800,4100,5000,1,1.0,0.3,0.7,32.1,4.2
2022-04-01,18500,4300,5500,1,1.1,0.4,0.6,32.3,4.3
2022-04-02,20000,4700,5500,1,1.1,0.6,0.6,32.7,4.5
2022-04-03,19200,4500,5500,1,1.1,0.5,0.6,32.6,4.4
2022-04-04,18500,4300,5500,1,1.1,0.4,0.6,32.5,4.3
2022-04-05,18000,4100,5500,1,1.1,0.3,0.6,32.3,4.3
2022-04-06,17600,3900,5500,1,1.1,0.2,0.6,32.2,4.2
2022-04-07,17200,3800,5500,1,1.1,0.1,0.6,32.0,4.2
2022-04-08,17800,4100,5500,1,1.1,0.3,0.6,32.1,4.2
2022-04-09,19200,4500,5500,1,1.1,0.5,0.6,32.5,4.4
2022-04-10,18500,4300,5500,1,1.1,0.4,0.6,32.4,4.3
2022-04-11,18000,4100,5500,1,1.1,0.3,0.6,32.3,4.3
2022-04-12,17600,3900,5500,1,1.1,0.2,0.6,32.1,4.2
2022-04-13,17200,3800,5500,1,1.1,0.1,0.6,32.0,4.2
2022-04-14,17800,4100,6000,1,1.1,0.3,0.6,32.1,4.2
2022-04-15,22500,5200,8000,2,1.1,0.6,0.6,33.0,4.7
2022-04-16,28000,6500,12000,3,1.1,0.8,0.6,35.0,4.9
2022-04-17,24000,5600,8000,2,1.1,0.7,0.6,34.5,4.8
2022-04-18,21000,4900,6000,1,1.1,0.5,0.6,33.8,4.6
2022-04-19,19500,4500,6000,1,1.1,0.4,0.6,33.2,4.5
2022-04-20,18800,4300,6000,1,1.1,0.3,0.6,33.0,4.4
2022-04-21,18200,4100,6000,1,1.1,0.2,0.6,32.8,4.3
2022-04-22,18800,4300,6000,1,1.1,0.4,0.6,32.9,4.4
2022-04-23,20200,4700,6000,1,1.1,0.6,0.6,33.2,4.5
2022-04-24,19500,4500,6000,1,1.1,0.5,0.6,33.1,4.4
2022-04-25,19000,4300,6000,1,1.1,0.4,0.6,33.0,4.4
2022-04-26,18500,4200,6000,1,1.1,0.3,0.6,32.8,4.3
2022-04-27,18000,4000,6000,1,1.1,0.2,0.6,32.7,4.3
2022-04-28,17800,3900,6000,1,1.1,0.3,0.6,32.6,4.2
2022-04-29,18500,4200,6000,1,1.1,0.4,0.6,32.7,4.3
2022-04-30,19800,4600,6000,1,1.1,0.6,0.6,33.0,4.4 